Name,Score
GPT-5.2(xhigh) reasoning,98.7
GPT-5Codex(high) reasoning,98.7
DeepSeekV3.2Speciale reasoning,96.7
GPT-5.1Codex(high) reasoning,95.7
Gemini 3ProPreview (high) reasoning,95.7
Kimi K2Thinking reasoning,94.7
KAT-Coder-ProV1,94.7
GPT-5(high) reasoning,94.3
GPT-5.1(high) reasoning,94.0
gpt-oss-120B(high) reasoning,93.4
Grok 4 reasoning,92.7
DeepSeekV3.2 reasoning,92.0
GPT-5(medium) reasoning,91.7
GPT-5.1Codex mini(high) reasoning,91.7
ClaudeOpus 4.5 reasoning,91.3
Qwen3 235BA22B 2507 reasoning,91.0
GPT-5 mini(high) reasoning,90.7
o4-mini(high) reasoning,90.7
DeepSeekV3.1Terminus reasoning,89.7
Grok 4Fast reasoning,89.7
Nova 2.0Omni(medium) reasoning,89.7
DeepSeekV3.1 reasoning,89.7
gpt-oss-20B(high) reasoning,89.3
Grok 4.1Fast reasoning,89.3
Ring-1T reasoning,89.3
Nova 2.0ProPreview (medium) reasoning,89.0
Nova 2.0Lite(medium) reasoning,88.7
o3 reasoning,88.3
Qwen3 VL235B A22B reasoning,88.3
Claude 4.5Sonnet reasoning,88.0
Apriel-v1.6-15B-Thinker reasoning,88.0
Gemini 2.5Pro reasoning,87.7
DeepSeekV3.2 Exp reasoning,87.7
Apriel-v1.5-15B-Thinker reasoning,87.5
Gemini 3ProPreview (low) reasoning,86.7
GLM-4.6 reasoning,86.0
GLM-4.6V reasoning,85.3
GPT-5 mini(medium) reasoning,85.0
ERNIE 5.0ThinkingPreview reasoning,85.0
Grok 3miniReasoning (high) reasoning,84.7
Qwen3 VL32B reasoning,84.7
Seed-OSS-36B-Instruct reasoning,84.7
Qwen3 Next80B A3B reasoning,84.3
GPT-5 nano(high) reasoning,83.7
Claude 4.5Haiku reasoning,83.7
Ring-flash-2.0 reasoning,83.7
GPT-5(low) reasoning,83.0
Qwen3 4B2507 reasoning,82.7
Qwen3 MaxThinking reasoning,82.3
Qwen3 VL30B A3B reasoning,82.3
MagistralMedium 1.2 reasoning,82.0
Qwen3 235B reasoning,82.0
GLM-4.5-Air reasoning,80.7
Qwen3 Max,80.7
MagistralSmall 1.2 reasoning,80.3
Motif-2-12.7B reasoning,80.3
Claude 4.1Opus reasoning,80.3
EXAONE 4.032B reasoning,80.0
DoubaoSeed Code reasoning,79.3
GPT-5 nano(medium) reasoning,78.3
Gemini 2.5Flash(Sep) reasoning,78.3
MiniMax-M2 reasoning,78.3
LlamaNemotronSuper 49B v1.5 reasoning,76.7
DeepSeekR1 0528 reasoning,76.0
NVIDIANemotronNano 12B v2 VL reasoning,75.0
Qwen3 Max(Preview),75.0
Claude 4Sonnet reasoning,74.3
Qwen3 Omni30B A3B reasoning,74.0
OLMo 3 32BThink reasoning,73.7
GLM-4.5 reasoning,73.7
Gemini 2.5Flash reasoning,73.3
Claude 4Opus reasoning,73.3
GLM-4.5V reasoning,73.0
Qwen3 32B reasoning,73.0
Cogitov2.1 reasoning,72.7
Qwen3 VL 30BA3B,72.3
Qwen3 30B reasoning,72.3
Qwen3 235B 2507,71.7
Ling-1T,71.3
OLMo 3 7BThink reasoning,70.7
Qwen3 VL 235BA22B,70.7
NVIDIANemotronNano 9B V2 reasoning,69.7
Hermes 4405B reasoning,69.7
Gemini 2.5Flash-Lite(Sep) reasoning,68.7
Hermes 470B reasoning,68.7
Qwen3 VL 32B,68.3
DeepSeekR1 (Jan) reasoning,68.0
gpt-oss-120B(low) reasoning,66.7
Qwen3 30B A3B2507,66.3
Qwen3 Next 80BA3B,66.3
Ling-flash-2.0,65.3
DeepSeekR1 0528Qwen3 8B reasoning,63.7
LlamaNemotronUltra reasoning,63.7
Nova 2.0ProPreview (low) reasoning,63.3
DeepSeekR1 DistillQwen 32B reasoning,63.0
Claude Opus 4.5,62.7
gpt-oss-20B(low) reasoning,62.3
NVIDIA NemotronNano 9B V2,62.3
Solar Pro2 reasoning,61.3
MiniMax M180k reasoning,61.0
Gemini 2.5Flash,60.3
DeepSeek V3.2,59.0
Grok 3,58.0
Qwen3 14B,58.0
DeepSeek V3.2Exp,57.7
Kimi K2 0905,57.3
Kimi K2,57.0
Gemini 2.5Flash (Sep),56.7
Qwen3 30BA3B 2507 reasoning,56.3
Claude 3.7Sonnet reasoning,56.3
Nova 2.0Omni (low) reasoning,56.0
DeepSeekR1 DistillQwen 14B reasoning,55.7
Qwen3 14B reasoning,55.7
Llama 3.3NemotronSuper 49B reasoning,54.7
DeepSeekR1 DistillLlama 70B reasoning,53.7
DeepSeek V3.1Terminus,53.7
Gemini 2.5Flash-Lite reasoning,53.3
Qwen3 Omni 30BA3B,52.3
Qwen3 4B 2507,52.3
Exaone 4.01.2B reasoning,50.3
Llama 3.1NemotronNano 4B v1.1 reasoning,50.0
DeepSeek V3.1,49.7
Ling-mini-2.0,49.3
GPT-5 (ChatGPT),48.3
GPT-5 mini(minimal),46.7
Gemini 2.5Flash-Lite(Sep),46.7
Nova 2.0Lite (low) reasoning,46.7
GPT-4.1 mini,46.3
GLM-4.6,44.3
Grok CodeFast 1 reasoning,43.3
Grok 4 Fast,41.3
OLMo 3 7B,41.3
ERNIE 4.5 300BA47B,41.3
MagistralSmall 1 reasoning,41.3
DeepSeekR1 DistillLlama 8B reasoning,41.3
DeepSeek V30324,41.0
MagistralMedium 1 reasoning,40.3
EXAONE 4.0 32B,39.3
Qwen3 Coder480B,39.3
Claude 4.5Haiku,39.0
Qwen3 1.7B reasoning,38.7
Mistral Medium3.1,38.3
GPT-5.1,38.0
Mistral Large 3,38.0
Claude 4 Sonnet,38.0
Claude 4.5Sonnet,37.0
Nova 2.0 Omni,37.0
Qwen3 VL 4B,37.0
Devstral 2,36.7
Kimi Linear 48BA3B Instruct,36.3
Claude 4 Opus,36.3
Gemini 2.5Flash-Lite,35.3
GPT-4.1,34.7
Devstral Small2,34.3
Grok 4.1 Fast,34.3
Nova 2.0 Lite,33.7
Reka Flash3 reasoning,33.7
GPT-5 (minimal),31.7
Ministral 8B(Dec '25),31.7
Nova 2.0 ProPreview,30.7
Qwen3 VL8B reasoning,30.7
Mistral Medium3,30.3
Ministral 14B(Dec '25),30.0
Solar Pro 2,30.0
Devstral Small,29.3
Qwen3 Coder 30BA3B,29.0
QwQ-32B reasoning,29.0
GPT-5 nano(minimal),27.3
Qwen3 VL 8B,27.3
Mistral Small3.2,27.0
NVIDIA NemotronNano 12B v2 VL,26.7
DeepSeek V3(Dec),26.0
Qwen3 VL4B reasoning,25.7
GPT-4o (Mar),25.7
LFM2 8B A1B,25.3
Qwen3 8B,24.3
Exaone 4.0 1.2B,24.0
GPT-4.1 nano,24.0
Qwen3 235B,23.7
Qwen3 4B reasoning,22.3
Ministral 3B(Dec '25),22.0
DeepSeekR1 DistillQwen 1.5B reasoning,22.0
Gemini 2.0Flash,21.7
Qwen3 30B,21.7
Claude 3.7Sonnet,21.0
Gemma 3 27B,20.7
Qwen3 32B,19.7
Llama 4Maverick,19.3
Qwen3 8B reasoning,19.0
Gemma 3 12B,18.3
Phi-4,18.0
Qwen3 0.6B reasoning,18.0
Nova Premier,17.3
Hermes 4 405B,15.3
GLM-4.5V,15.3
GPT-4o mini,14.7
Gemma 3n E4B,14.3
Llama 4 Scout,14.0
Mistral Large 2(Nov),14.0
Qwen2.5 72B,14.0
Granite 4.0 HSmall,13.7
MiniMax M140k reasoning,13.7
Command A,13.0
Gemma 3 4B,12.7
Hermes 4 70B,11.3
Llama 3.1Nemotron 70B,11.0
JambaReasoning3B reasoning,10.7
Gemma 3n E2B,10.3
Qwen3 0.6B,10.3
LFM2 2.6B,8.3
Llama NemotronSuper 49B v1.5,8.0
Llama 3.3 70B,7.7
Llama 3.3Nemotron Super49B,7.7
Qwen3 1.7B,7.3
Nova Pro,7.0
Nova Lite,7.0
Phi-4 Mini,6.7
Granite 3.3 8B,6.7
Granite 4.0 H1B,6.3
Granite 4.0 1B,6.3
Nova Micro,6.0
Granite 4.0Micro,6.0
GPT-4o (Nov),6.0
Devstral Medium,4.7
Llama 3.1 8B,4.3
Mistral Small 3,4.3
Llama 3.1 70B,4.0
Mistral Small3.1,3.7
Gemma 3 1B,3.3
LFM2 1.2B,3.3
Llama 3.2 3B,3.3
OLMo 2 32B,3.3
Llama 3.1 405B,3.0
Gemma 3 270M,2.3
Jamba 1.7 Large,2.3
Pixtral Large,2.3
Llama 3.2 11B(Vision),1.7
Granite 4.0 H350M,1.3
Phi-3 Medium14B,1.3
OLMo 2 7B,0.7
Jamba 1.7 Mini,0.3
Phi-3 Mini,0.3
Molmo 7B-D,0.0
Granite 4.0350M,0.0
Llama 3.2 1B,0.0
Mistral Large 2(Jul),0.0
