Name,Score
GPT-5.2(xhigh) reasoning,44.0
ClaudeOpus 4.5 reasoning,44.0
GPT-5.1(high) reasoning,42.6
GPT-5.2(medium) reasoning,40.4
Gemini 3ProPreview (high) reasoning,39.0
Claude Opus 4.5,38.3
Grok 4 reasoning,37.6
Gemini 3Flash reasoning,36.2
GPT-5(medium) reasoning,36.2
GPT-5Codex(high) reasoning,35.5
o3 reasoning,34.8
Claude 4.5Sonnet reasoning,33.3
DeepSeekV3.2 reasoning,33.3
GPT-5.1Codex(high) reasoning,32.6
DeepSeekV3.2Speciale reasoning,32.6
Claude 4.1Opus reasoning,32.1
Gemini 3ProPreview (low) reasoning,31.9
GPT-5 mini(high) reasoning,31.2
GPT-5.1Codex mini(high) reasoning,31.2
DeepSeek V3.2,30.5
GPT-5(high) reasoning,30.5
GPT-5.2,29.8
Gemini 3 Flash,29.8
GLM-4.7 reasoning,29.8
Claude 4Sonnet reasoning,29.8
DeepSeek V3.1Terminus,29.8
Kimi K2Thinking reasoning,29.1
Claude 4Opus reasoning,29.1
DeepSeekV3.2 Exp reasoning,29.1
GLM-4.7,28.4
DeepSeekV3.1Terminus reasoning,28.4
Claude 4.5Sonnet,27.0
MiniMax-M2.1 reasoning,27.0
GPT-5 mini(medium) reasoning,27.0
GLM-4.6,27.0
MiMo-V2-Flash reasoning,26.2
Claude 4.5Haiku,25.5
Claude 4.5Haiku reasoning,25.5
Claude 4 Sonnet,25.5
Gemini 2.5Pro reasoning,24.8
DoubaoSeed Code reasoning,24.8
GPT-5(low) reasoning,24.8
MiMo-V2-Flash,24.1
DeepSeekV3.1 reasoning,24.1
MiniMax-M2 reasoning,24.1
ERNIE 5.0ThinkingPreview reasoning,23.4
DeepSeek V3.2Exp,23.4
GLM-4.6 reasoning,23.4
Grok 4.1Fast reasoning,22.7
Nova 2.0ProPreview (medium) reasoning,22.7
Kimi K2 0905,22.7
DeepSeek V3.1,22.7
gpt-oss-120B(high) reasoning,22.0
