Name,Score
GPT-5 mini(high),75.4
GPT-5Codex(high),74.1
GPT-5(high),73.1
MiniMax-M2,72.3
o3,71.4
GPT-5 mini(medium),71.2
GPT-5(medium),70.6
gpt-oss-120B(high),69.0
o4-mini(high),68.7
Kimi K2Thinking,68.1
GPT-5 nano(high),67.6
GPT-5(low),66.6
GPT-5 nano(medium),65.9
gpt-oss-20B(high),65.1
Apriel-v1.5-15B-Thinker,61.7
Qwen3 Next80B A3B,60.7
Qwen3 VL32B,59.4
gpt-oss-120B(low),58.3
gpt-oss-20B(low),57.8
Claude 4.5Sonnet,57.3
DeepSeekV3.1Terminus,57.0
Qwen3 VL235B A22B,56.5
Claude 4.1Opus,55.4
Claude 4Sonnet,54.7
Claude 4.5Haiku,54.3
DeepSeekV3.2 Exp,54.1
Grok 4,53.7
Claude 4Opus,53.7
Gemini 2.5Flash-Lite(Sep),52.6
JambaReasoning3B,52.4
Gemini 2.5Flash(Sep),52.3
Qwen3 235BA22B 2507,51.2
Qwen3 30BA3B 2507,50.7
Grok 4Fast,50.5
Gemini 2.5Flash,50.3
Gemini 2.5Flash-Lite,49.9
Qwen3 4B2507,49.8
Gemini 2.5Pro,48.7
Claude 3.7Sonnet,48.3
Qwen3 Max(Preview),48.0
Llama 3.3 70B,47.1
Grok 3,46.9
Qwen3 235B 2507,46.1
Grok 3miniReasoning (high),45.9
GPT-5 mini(minimal),45.6
GPT-5 (minimal),45.6
Claude 4 Sonnet,45.4
Qwen3 VL30B A3B,45.1
GPT-5 (ChatGPT),45.0
MagistralSmall 1.2,44.4
Qwen3 Max,44.1
GLM-4.5,44.1
Claude 3.7Sonnet,44.0
Gemini 2.5Flash (Sep),43.5
GLM-4.6,43.4
Qwen3 Omni30B A3B,43.4
Ring-flash-2.0,43.3
Claude 4 Opus,43.3
DeepSeek V3.2Exp,43.1
Llama 4Maverick,43.0
MagistralMedium 1.2,43.0
GPT-4.1,43.0
Claude 4.5Sonnet,42.7
Qwen3 VL 235BA22B,42.7
Claude 4.5Haiku,42.0
Seed-OSS-36B-Instruct,41.9
Gemini 2.5Flash-Lite(Sep),41.8
MiniMax M180k,41.8
Kimi K2 0905,41.7
DeepSeekV3.1,41.5
Kimi K2,41.5
Qwen3 30B,41.5
